"code","long_description","medium_description","short_description"
"216","Anesthesia for intracranial procedures; vascular procedures","ANESTHESIA INTRACRANIAL VASCULAR PROCEDURE","ANESTH HEAD VESSEL SURGERY"
"218","Anesthesia for intracranial procedures; procedures in sitting position","ANES INTRACRANIAL PROCEDURE IN SITTING POSITION","ANESTH SPECIAL HEAD SURGERY"
"220","Anesthesia for intracranial procedures; cerebrospinal fluid shunting procedures","ANES INTRACRANIAL CEREBROSPINAL FLUID SHUNTING","ANESTH INTRCRN NERVE"
"222","Anesthesia for intracranial procedures; electrocoagulation of intracranial nerve","ANES INTRACRANIAL ELECTROCOAGULATION ICRA NERVE","ANESTH HEAD NERVE SURGERY"
"300","Anesthesia for all procedures on the integumentary system, muscles and nerves of head, neck, and posterior trunk, not otherwise specified","ANES INTEG MUSC&NRV HEAD NCK&POSTERIOR TRUNK NOS","ANESTH HEAD/NECK/PTRUNK"
"320","Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; not otherwise specified, age 1 year or older","ANES ESOPH THYRD LARYNX TRACH & LYMPH NECK 1YR/>","ANESTH NECK ORGAN 1YR/>"
"322","Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; needle biopsy of thyroid","ANES ESOPH THYRD LARX TRACH & LYMPH NCK BX THYRD","ANESTH BIOPSY OF THYROID"
"326","Anesthesia for all procedures on the larynx and trachea in children younger than 1 year of age","ANESTHESIA LARYNX & TRACHEA CHILDREN <1YEAR","ANESTH LARYNX/TRACH < 1 YR"
"350","Anesthesia for procedures on major vessels of neck; not otherwise specified","ANESTHESIA MAJOR VESSELS NECK NOS","ANESTH NECK VESSEL SURGERY"
"352","Anesthesia for procedures on major vessels of neck; simple ligation","ANESTHESIA MAJOR VESSELS NECK SIMPLE LIGATION","ANESTH NECK VESSEL SURGERY"
"400","Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; not otherwise specified","ANES INTEG EXTREMITIES ANT TRUNK & PERINEUM NOS","ANESTH SKIN EXT/PER/ATRUNK"
"402","Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; reconstructive procedures on breast (eg, reduction or augmentation mammoplasty, muscle flaps)","ANESTHESIA RECONSTRUCTION BREAST","ANESTH SURGERY OF BREAST"
"404","Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast","ANESTHESIA RADICAL/MODIFIED RADICAL BREAST","ANESTH SURGERY OF BREAST"
"406","Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast with internal mammary node dissection","ANES RADICAL/MODIFIED RADICAL BREAST W/NODES","ANESTH SURGERY OF BREAST"
"410","Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; electrical conversion of arrhythmias","ANES INTEG SYS ELEC CONVERSION ARRHYTHMIAS","ANESTH CORRECT HEART RHYTHM"
"450","Anesthesia for procedures on clavicle and scapula; not otherwise specified","ANESTHESIA CLAVICLE AND SCAPULA NOS","ANESTH SURGERY OF SHOULDER"
"452","Anesthesia for procedures on clavicle and scapula; radical surgery","ANESTHESIA CLAVICLE & SCAPULA RADICAL SURGERY","ANESTH SURGERY OF SHOULDER"
"454","Anesthesia for procedures on clavicle and scapula; biopsy of clavicle","ANESTHESIA CLAVICLE & SCAPULA BIOPSY CLAVICLE","ANESTH COLLAR BONE BIOPSY"
"470","Anesthesia for partial rib resection; not otherwise specified","ANESTHESIA PARTIAL RIB RESECTION NOS","ANESTH REMOVAL OF RIB"
"472","Anesthesia for partial rib resection; thoracoplasty (any type)","ANESTHESIA PARTIAL RIB RESECTION THORACOPLASTY","ANESTH CHEST WALL REPAIR"
"474","Anesthesia for partial rib resection; radical procedures (eg, pectus excavatum)","ANESTHESIA PARTIAL RIB RESECTION RADICAL","ANESTH SURGERY OF RIB"
"500","Anesthesia for all procedures on esophagus","ANESTHESIA ESOPHAGUS","ANESTH ESOPHAGEAL SURGERY"
"520","Anesthesia for closed chest procedures; (including bronchoscopy) not otherwise specified","ANESTHESIA CLOSED CHEST W/BRONCHOSCOPY NOS","ANESTH CHEST PROCEDURE"
"522","Anesthesia for closed chest procedures; needle biopsy of pleura","ANESTHESIA CLOSED CHEST NEEDLE BIOPSY PLEURA","ANESTH CHEST LINING BIOPSY"
"524","Anesthesia for closed chest procedures; pneumocentesis","ANESTHESIA CLOSED CHEST PNEUMOCENTESIS","ANESTH CHEST DRAINAGE"
"528","Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy not utilizing 1 lung ventilation","ANES MEDIASTINOSCOPY&THORACSCOPY W/O 1 LUNG VNTJ","ANES MEDIASCPY & DX THORSCPY"
"529","Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy utilizing 1 lung ventilation","ANES MEDIASTINOSCOPY&THORACOSCOPY W/1 LUNG VNTJ","ANES MEDSCPY&THORSCPY 1 LUNG"
"530","Anesthesia for permanent transvenous pacemaker insertion","ANES PERMANENT TRANSVENOUS PACEMAKER INSERTION","ANESTH PACEMAKER INSERTION"
"532","Anesthesia for access to central venous circulation","ANESTHESIA ACCESS CENTRAL VENOUS CIRCULATION","ANESTH VASCULAR ACCESS"
"534","Anesthesia for transvenous insertion or replacement of pacing cardioverter-defibrillator","ANES TRANSVENOUS INSJ/REPLACEMENT PACING CVDFB","ANESTH CARDIOVERTER/DEFIB"
"537","Anesthesia for cardiac electrophysiologic procedures including radiofrequency ablation","ANES CARDIAC ELECTROPHYSIOL STDY W/RF ABLATION","ANESTH CARDIAC ELECTROPHYS"
"539","Anesthesia for tracheobronchial reconstruction","ANESTHESIA TRACHEOBRONCHIAL RECONSTRUCTION","ANESTH TRACH-BRONCH RECONST"
"540","Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); not otherwise specified","ANES THORACOTOMY & THORACOSCOPY NOS","ANESTH CHEST SURGERY"
"541","Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); utilizing 1 lung ventilation","ANES THORACOTOMY & THORACOSCOPY W/1 LUNG VNTJ","ANESTH ONE LUNG VENTILATION"
"542","Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); decortication","ANES THORACOTOMY & THORACOSCOPY DECORTICATION","ANESTH REMVL PLEURA"
"546","Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); pulmonary resection with thoracoplasty","ANES THORACOTOMY & THORACOSCOPY PULMONARY RESCJ","ANESTH LUNG CHEST WALL SURG"
"548","Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); intrathoracic procedures on the trachea and bronchi","ANES THORACOTOMY & THORACSCOPY TRACHEA & BRONCHI","ANESTH TRACHEA BRONCHI SURG"
"550","Anesthesia for sternal debridement","ANESTHESIA FOR STERNAL DEBRIDEMENT","ANESTH STERNAL DEBRIDEMENT"
"560","Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; without pump oxygenator","ANES HRT PERICARDIAL SAC&GRT VESLS W/O PMP OXTJ","ANESTH HEART SURG W/O PUMP"
"561","Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator, younger than 1 year of age","ANES HRT PERICARD SAC&GREAT VSLS W/PMP OXTJ <1YR","ANESTH HEART SURG < 1 YR"
"562","Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator, age 1 year or older, for all non-coronary bypass procedures (eg, valve procedures) or for re-operation for coronary bypass more than 1 month after original operation","ANES HRT PERICARD SAC&GRT VSLS W/PMP OXTJ 1/> YR","ANESTH HRT SURG W/PMP AGE 1+"
"563","Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator with hypothermic circulatory arrest","ANES HRT PRCRD SAC&GREAT VSL W/PUMP OXTJ HYPTHRM","ANESTH HEART SURG W/ARREST"
"566","Anesthesia for direct coronary artery bypass grafting; without pump oxygenator","ANES DIRECT CABG W/O PUMP OXYGENATOR","ANESTH CABG W/O PUMP"
"567","Anesthesia for direct coronary artery bypass grafting; with pump oxygenator","ANES DIRECT CABG W/PUMP OXYGENATOR","ANESTH CABG W/PUMP"
"580","Anesthesia for heart transplant or heart/lung transplant","ANES HEART TRANSPLANT/HEART/LUNG TRANSPLANT","ANESTH HEART/LUNG TRANSPLNT"
"600","Anesthesia for procedures on cervical spine and cord; not otherwise specified","ANESTHESIA CERVICAL SPINE & CORD NOS","ANESTH SPINE CORD SURGERY"
"604","Anesthesia for procedures on cervical spine and cord; procedures with patient in the sitting position","ANES CERVICAL SPINE&CORD W/PATIENT SITTING","ANESTH SITTING PROCEDURE"
"620","Anesthesia for procedures on thoracic spine and cord; not otherwise specified","ANESTHESIA THORACIC SPINE & CORD NOS","ANESTH SPINE CORD SURGERY"
"622","Anesthesia for procedures on thoracic spine and cord; thoracolumbar sympathectomy","ANES THORACIC SPINE&CORD THORACOLMBR SYMPTH","ANESTH REMOVAL OF NERVES"
"625","Anesthesia for procedures on the thoracic spine and cord, via an anterior transthoracic approach; not utilizing 1 lung ventilation","ANES THRC SPINE & CORD ANT APPR W/O 1 LUNG VNTJ","ANES SPINE TRANTHOR W/O VENT"
"626","Anesthesia for procedures on the thoracic spine and cord, via an anterior transthoracic approach; utilizing 1 lung ventilation","ANES THORACIC SPINE & CORD ANT APPR W/1 LNG VNTJ","ANES SPINE TRANSTHOR W/VENT"
"630","Anesthesia for procedures in lumbar region; not otherwise specified","ANESTHESIA LUMBAR REGION NOS","ANESTH SPINE CORD SURGERY"
"632","Anesthesia for procedures in lumbar region; lumbar sympathectomy","ANESTHESIA LUMBAR REGION LUMBAR SYMPATHECTOMY","ANESTH REMOVAL OF NERVES"
"634","Anesthesia for procedures in lumbar region; chemonucleolysis","ANESTHESIA LUMBAR CHEMONUCLEOLYSIS","ANESTH FOR CHEMONUCLEOLYSIS"
"635","Anesthesia for procedures in lumbar region; diagnostic or therapeutic lumbar puncture","ANES DIAGNOSTIC/THERAPEUTIC LUMBAR PUNCTURE","ANESTH LUMBAR PUNCTURE"
"640","Anesthesia for manipulation of the spine or for closed procedures on the cervical, thoracic or lumbar spine","ANES MANIPULATE SPINE/CLSD CRV THORC/LUMBR SPINE","ANESTH SPINE MANIPULATION"
"670","Anesthesia for extensive spine and spinal cord procedures (eg, spinal instrumentation or vascular procedures)","ANESTHESIA EXTENSIVE SPINE & SPINAL CORD","ANESTH SPINE CORD SURGERY"
"700","Anesthesia for procedures on upper anterior abdominal wall; not otherwise specified","ANESTHESIA UPPER ANTERIOR ABDOMINAL WALL NOS","ANESTH ABDOMINAL WALL SURG"
"702","Anesthesia for procedures on upper anterior abdominal wall; percutaneous liver biopsy","ANES UPR ANT ABDL WALL PERCUTANEOUS LIVER BX","ANESTH FOR LIVER BIOPSY"
"730","Anesthesia for procedures on upper posterior abdominal wall","ANESTHESIA UPPER POSTERIOR ABDOMINAL WALL","ANESTH ABDOMINAL WALL SURG"
"740","Anesthesia for upper gastrointestinal endoscopic procedures, endoscope introduced proximal to duodenum","ANES UPPER GI ENDOSCOPY PROXIMAL TO DUODENUM","ANESTH UPPER GI VISUALIZE"
"750","Anesthesia for hernia repairs in upper abdomen; not otherwise specified","ANESTHESIA HERNIA REPAIR UPPER ABDOMEN NOS","ANESTH REPAIR OF HERNIA"
"752","Anesthesia for hernia repairs in upper abdomen; lumbar and ventral (incisional) hernias and/or wound dehiscence","ANES HRNA RPR UPR ABD LMBR&VNT HRNAS&/WND DEHSN","ANESTH REPAIR OF HERNIA"
"754","Anesthesia for hernia repairs in upper abdomen; omphalocele","ANES HERNIA REPAIR UPPER ABDOMEN OMPHALOCELE","ANESTH REPAIR OF HERNIA"
"756","Anesthesia for hernia repairs in upper abdomen; transabdominal repair of diaphragmatic hernia","ANES HRNA REPAIR UPR ABD TABDL RPR DIPHRG HRNA","ANESTH REPAIR OF HERNIA"
"770","Anesthesia for all procedures on major abdominal blood vessels","ANESTHESIA MAJOR ABDOMINAL BLOOD VESSELS","ANESTH BLOOD VESSEL REPAIR"
"790","Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; not otherwise specified","ANES INTRAPERITONEAL UPPER ABDOMEN W/LAPS NOS","ANESTH SURG UPPER ABDOMEN"
"792","Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; partial hepatectomy or management of liver hemorrhage (excluding liver biopsy)","ANES LAPS PARTIAL HEPATECTOMY W/MGMT LIVER HEMOR","ANESTH HEMORR/EXCISE LIVER"
"794","Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; pancreatectomy, partial or total (eg, Whipple procedure)","ANES LAPAROSCOPIC PARTIAL/TOTAL PANCREATECTOMY","ANESTH PANCREAS REMOVAL"
"796","Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; liver transplant (recipient)","ANES LAPAROSCOPIC LIVER TRANSPLANT","ANESTH FOR LIVER TRANSPLANT"
"797","Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; gastric restrictive procedure for morbid obesity","ANES IPR UPPER ABDOMEN LAPS GASTRIC RSTCV MO","ANESTH SURGERY FOR OBESITY"
"800","Anesthesia for procedures on lower anterior abdominal wall; not otherwise specified","ANESTHESIA LOWER ANTERIOR ABDOMINAL WALL NOS","ANESTH ABDOMINAL WALL SURG"
"802","Anesthesia for procedures on lower anterior abdominal wall; panniculectomy","ANES LOWER ANT ABDOMINAL WALL PANNICULECTOMY","ANESTH FAT LAYER REMOVAL"
"810","Anesthesia for lower intestinal endoscopic procedures, endoscope introduced distal to duodenum","ANES LOWER INTESTINE ENDOSCOPY DISTAL DUODENUM","ANESTH LOW INTESTINE SCOPE"
"820","Anesthesia for procedures on lower posterior abdominal wall","ANESTHESIA LOWER POSTERIOR ABDOMINAL WALL","ANESTH ABDOMINAL WALL SURG"
"830","Anesthesia for hernia repairs in lower abdomen; not otherwise specified","ANESTHESIA HERNIA REPAIR LOWER ABDOMEN NOS","ANESTH REPAIR OF HERNIA"
"832","Anesthesia for hernia repairs in lower abdomen; ventral and incisional hernias","ANES LWR ABD VENTRAL & INCISIONAL HERNIA REPAIR","ANESTH REPAIR OF HERNIA"
"834","Anesthesia for hernia repairs in the lower abdomen not otherwise specified, younger than 1 year of age","ANES HERNIA REPAIR LOWER ABDOMEN NOS <1YR AGE","ANESTH HERNIA REPAIR < 1 YR"
"836","Anesthesia for hernia repairs in the lower abdomen not otherwise specified, infants younger than 37 weeks gestational age at birth and younger than 50 weeks gestational age at time of surgery","ANES HRNA RPR LWR ABD NOS INFTS<37WK BRTH<50WK","ANESTH HERNIA REPAIR PREEMIE"
"840","Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; not otherwise specified","ANESTHESIA INTRAPERITONEAL LOWER ABD W/LAPS NOS","ANESTH SURG LOWER ABDOMEN"
"842","Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; amniocentesis","ANES IPER LOWER ABDOMEN W/LAPS AMNIOCENTESIS","ANESTH AMNIOCENTESIS"
"844","Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; abdominoperineal resection","ANES IPER LOWER ABD W/LAPS ABDOMINOPRNL RESCJ","ANESTH PELVIS SURGERY"
"846","Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; radical hysterectomy","ANES IPER LOWER ABD W/LAPS RAD HYSTERECTOMY","ANESTH HYSTERECTOMY"
"848","Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; pelvic exenteration","ANES IPER LOWER ABD W/LAPS PELVIC EXENTERATION","ANESTH PELVIC ORGAN SURG"
"851","Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; tubal ligation/transection","ANES IPER LWR ABD W/LAPS TUBAL LIGATION/TRANSECT","ANESTH TUBAL LIGATION"
"860","Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; not otherwise specified","ANES EXTRAPERITONEAL LWR ABD W/URINARY TRACT NOS","ANESTH SURGERY OF ABDOMEN"
"862","Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; renal procedures, including upper one-third of ureter, or donor nephrectomy","ANES XTRPRTL LOWER ABD UR TRACT RENAL DON NFRCT","ANESTH KIDNEY/URETER SURG"
"864","Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; total cystectomy","ANES XTRPRTL LWER ABD W/URINARY TRACT TOT CYSTEC","ANESTH REMOVAL OF BLADDER"
"865","Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; radical prostatectomy (suprapubic, retropubic)","ANES XTRPRTL LWR ABD W/URINARY TRACT RAD PRSTECT","ANESTH REMOVAL OF PROSTATE"
"866","Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; adrenalectomy","ANES XTRPRTL LOWER ABD W/URIN TRACT ADRENLECTOMY","ANESTH REMOVAL OF ADRENAL"
"868","Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; renal transplant (recipient)","ANES XTRPRTL LWR ABD W/URIN TRACT RENAL TRANSPL","ANESTH KIDNEY TRANSPLANT"
"870","Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; cystolithotomy","ANES XTRPRTL LWR ABD W/URIN TRACT CSTOLITHOTOMY","ANESTH BLADDER STONE SURG"
"872","Anesthesia for lithotripsy, extracorporeal shock wave; with water bath","ANES LITHOTRP XTRCORP SHOCK WAVE W/WATER BATH","ANESTH KIDNEY STONE DESTRUCT"
"873","Anesthesia for lithotripsy, extracorporeal shock wave; without water bath","ANES LITHOTRP XTRCORP SHOCK WAVE W/O WATER BATH","ANESTH KIDNEY STONE DESTRUCT"
"880","Anesthesia for procedures on major lower abdominal vessels; not otherwise specified","ANESTHESIA MAJOR LOWER ABDOMINAL VESSELS NOS","ANESTH ABDOMEN VESSEL SURG"
"882","Anesthesia for procedures on major lower abdominal vessels; inferior vena cava ligation","ANES MAJOR LOWER ABDOMINAL VESSELS IVC LIGATION","ANESTH MAJOR VEIN LIGATION"
"902","Anesthesia for; anorectal procedure","ANESTHESIA ANORECTAL PROCEDURE","ANESTH ANORECTAL SURGERY"
"904","Anesthesia for; radical perineal procedure","ANESTHESIA RADICAL PERINEAL PROCEDURE","ANESTH PERINEAL SURGERY"
"906","Anesthesia for; vulvectomy","ANESTHESIA VULVECTOMY","ANESTH REMOVAL OF VULVA"
"908","Anesthesia for; perineal prostatectomy","ANESTHESIA PERINEAL PROSTATECTOMY","ANESTH REMOVAL OF PROSTATE"
"910","Anesthesia for transurethral procedures (including urethrocystoscopy); not otherwise specified","ANES TRANSURETHRAL W/URETHROCYSTOSCOPY NOS","ANESTH BLADDER SURGERY"
"912","Anesthesia for transurethral procedures (including urethrocystoscopy); transurethral resection of bladder tumor(s)","ANES TRANSURETHRAL RESECTION OF BLADDER TUMOR","ANESTH BLADDER TUMOR SURG"
"914","Anesthesia for transurethral procedures (including urethrocystoscopy); transurethral resection of prostate","ANESTHESIA TRANSURETHRAL RESECTION OF PROSTATE","ANESTH REMOVAL OF PROSTATE"
"916","Anesthesia for transurethral procedures (including urethrocystoscopy); post-transurethral resection bleeding","ANES TRURL POST-TRURL RESECTION BLEEDING","ANESTH BLEEDING CONTROL"
"918","Anesthesia for transurethral procedures (including urethrocystoscopy); with fragmentation, manipulation and/or removal of ureteral calculus","ANES TRURL FRAGMNTJ MANJ&/RMVL URETERAL CALCULUS","ANESTH STONE REMOVAL"
"920","Anesthesia for procedures on male genitalia (including open urethral procedures); not otherwise specified","ANESTHESIA MALE GENITALIA INCL OPEN URETHRAL PX","ANESTH GENITALIA SURGERY"
"921","Anesthesia for procedures on male genitalia (including open urethral procedures); vasectomy, unilateral or bilateral","ANES VASECTOMY UNI/BI INCL OPEN URETHRAL PX","ANESTH VASECTOMY"
"922","Anesthesia for procedures on male genitalia (including open urethral procedures); seminal vesicles","ANES SEMINAL VESICLES INCL OPEN URETHRAL PX","ANESTH SPERM DUCT SURGERY"
"924","Anesthesia for procedures on male genitalia (including open urethral procedures); undescended testis, unilateral or bilateral","ANES UNDSCND TESTIS UNI/BI INCL OPEN URTL PX","ANESTH TESTIS EXPLORATION"
"926","Anesthesia for procedures on male genitalia (including open urethral procedures); radical orchiectomy, inguinal","ANES RAD ORCHIECTOMY INGUN INCL OPEN URTL PX","ANESTH REMOVAL OF TESTIS"
"928","Anesthesia for procedures on male genitalia (including open urethral procedures); radical orchiectomy, abdominal","ANES RAD ORCHIECTOMY ABDOMINAL INCL OPN URTL","ANESTH REMOVAL OF TESTIS"
"930","Anesthesia for procedures on male genitalia (including open urethral procedures); orchiopexy, unilateral or bilateral","ANES ORCHIOPEXY UNI/BI INCL OPEN URETHRAL PX","ANESTH TESTIS SUSPENSION"
"932","Anesthesia for procedures on male genitalia (including open urethral procedures); complete amputation of penis","ANES COMPLETE AMPUTATION PENIS INCL OPEN URTL","ANESTH AMPUTATION OF PENIS"
"934","Anesthesia for procedures on male genitalia (including open urethral procedures); radical amputation of penis with bilateral inguinal lymphadenectomy","ANES RAD AMP PENIS W/BI INGUINAL LYMPH NODE RMVL","ANESTH PENIS NODES REMOVAL"
"936","Anesthesia for procedures on male genitalia (including open urethral procedures); radical amputation of penis with bilateral inguinal and iliac lymphadenectomy","ANES RAD AMP PENIS W/BI INGUNL&ILIAC LYMPH RMVL","ANESTH PENIS NODES REMOVAL"
"938","Anesthesia for procedures on male genitalia (including open urethral procedures); insertion of penile prosthesis (perineal approach)","ANES INSJ PENILE PROSTH PRNL INCL OPEN URTL","ANESTH INSERT PENIS DEVICE"
"940","Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); not otherwise specified","ANESTHESIA VAGINAL PROCEDURE W/BIOPSY NOS","ANESTH VAGINAL PROCEDURES"
"942","Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); colpotomy, vaginectomy, colporrhaphy, and open urethral procedures","ANES COLPTMY VAGNC COLPRPHY INCL BX W/OPN URTL","ANESTH SURG ON VAG/URETHRAL"
"944","Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); vaginal hysterectomy","ANESTHESIA VAGINAL HYSTERECTOMY INCL BIOPSY","ANESTH VAGINAL HYSTERECTOMY"
"948","Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); cervical cerclage","ANESTHESIA CERVICAL CERCLAGE INCLUDING BIOPSY","ANESTH REPAIR OF CERVIX"
"950","Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); culdoscopy","ANESTHESIA CULDOSCOPY INCLUDING BIOPSY","ANESTH VAGINAL ENDOSCOPY"
"952","Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); hysteroscopy and/or hysterosalpingography","ANES HYSTEROSCOPY&/HYSTEROSALPINGOGRAPHY W/BX","ANESTH HYSTEROSCOPE/GRAPH"
"1112","Anesthesia for bone marrow aspiration and/or biopsy, anterior or posterior iliac crest","ANES BONE MARROW ASPIR&/BX ANT/PST ILIAC CREST","ANESTH BONE ASPIRATE/BX"
"1120","Anesthesia for procedures on bony pelvis","ANESTHESIA ON BONY PELVIS","ANESTH PELVIS SURGERY"
"1130","Anesthesia for body cast application or revision","ANESTHESIA BODY CAST APPLICATION OR REVISION","ANESTH BODY CAST PROCEDURE"
